intent_id,intent_name,definition,inclusion_criteria,exclusion_criteria,example
INT-001,order_status,Current status/progress of an existing order.,"General status update; not specifically tracking, ETA, or delay.","Tracking, delivery estimate, or late delivery.",Can you check my order status?
INT-002,delivery_delay,Expected delivery is late or the promised window has passed.,Customer explicitly reports a late/missed delivery.,Do not use if only asking for location or ETA before deadline.,My package was due yesterday and still hasn't arrived.
INT-003,delivery_estimate,Customer asks when an order is expected to arrive.,"ETA, expected date, or delivery duration.",Do not use for an already-late delivery.,When should my package arrive?
INT-004,delivery_tracking,"Customer wants shipment location, tracking, scans, or transit status.",Tracking/location request without an established missed deadline.,Do not use when the customer says the delivery is already late.,Where is my parcel right now?
INT-005,return_request,Customer wants to return a received product or asks how to start a return.,Starting or understanding a product return.,Do not use for pre-shipment cancellation or refund status.,How do I return this item?
INT-006,refund_status,Customer asks about money expected from an existing refund/return.,Refund processing status or expected refund timing.,Do not use for starting a return.,Has my refund been processed?
INT-007,payment_failure,"Payment attempt is declined, rejected, or fails during checkout.",Unsuccessful payment attempt.,Do not use for duplicate or already-successful charges.,My card payment keeps failing.
INT-008,duplicate_charge,Same purchase appears to have been charged more than once.,Two or more charges for one purchase.,Do not use for a single unexpected charge.,I was charged twice for one order.
INT-009,order_cancellation,Customer wants to stop an existing order before fulfillment/shipment.,Cancelling a one-time order.,Do not use for returning a received item or cancelling a subscription.,Can you cancel my order?
INT-010,damaged_item,"Received product is broken, cracked, damaged, or defective on arrival.",Physical damage is the primary issue.,Do not use for wrong or missing items.,The product arrived broken.
INT-011,wrong_item,Received product does not match what was ordered.,"Wrong model, product, size, color, or variant.",Do not use when the correct product is damaged or missing.,I received the wrong model.
INT-012,missing_item,One or more ordered products are absent from a delivered package.,Package arrived but an ordered item is missing.,Do not use when a different item was delivered.,One item from my order is missing.
INT-013,account_access,Customer cannot sign in or access their account.,General login/access problem.,Do not use for explicit password recovery or suspected compromise.,I can't sign in to my account.
INT-014,password_reset,Customer forgot a password or explicitly requests password recovery/reset.,Password reset or forgotten-password request.,Do not use for generic login problems or security incidents.,I forgot my password. How can I reset it?
INT-015,account_security,"Customer reports suspicious login, unauthorized change, or possible account compromise.",Security incident or suspected unauthorized access.,Do not use for ordinary login/password problems.,I don't recognize this login.
INT-016,address_change,Customer wants to change/correct the shipping address for an order.,Delivery-address modification.,Do not use for unrelated profile changes.,I entered the wrong shipping address.
INT-017,subscription_cancel,Customer wants to stop a recurring subscription or prevent renewal.,Recurring membership cancellation.,Do not use for subscription billing questions without cancellation intent.,Please cancel my subscription.
INT-018,subscription_billing,Customer asks about a recurring subscription charge or billing amount.,Subscription billing explanation/dispute.,Do not use for subscription cancellation.,Why was I charged for my subscription?
INT-019,promo_code,Customer asks about a promotional code or reports a coupon/discount code problem.,"Promo-code usage, rejection, or discount not applying.",Do not use for general product pricing questions.,My discount code isn't working.
INT-020,product_information,"Customer requests product features, specifications, contents, options, or compatibility information.",Informational product question.,Do not use for problems with a received item.,What features does this product have?
