conversation_id,channel,customer_message,language,synthetic
CONV-00001,email,Just checking — It looks like I was billed twice for ORD-101501. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00002,web_form,"I wanted to check whether The box arrived, but shirt wasn't inside. I haven't changed anything on my account. Can you check?",en,True
CONV-00003,email,Just checking — Part of ORD-102653 was not included in the delivery. I placed the order earlier today. Thanks.,en,True
CONV-00004,mobile_app,Just checking — Has the refund for ORD-101055 been issued yet? I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True
CONV-00005,email,Please advise: When should ORD-100705 arrive? I placed the order earlier today. Any guidance would be helpful.,en,True
CONV-00006,web_form,I wanted to check whether Do you have an update on ORD-100106? I want to know where it stands. I haven't changed anything on my account. Thank you.,en,True
CONV-00007,email,Just checking — I’m planning around the delivery. When is it expected? I noticed this while reviewing my recent activity. Thanks.,en,True
CONV-00008,web_form,Quick question: The delivered item doesn't match my order. I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00009,mobile_app,I wanted to check whether The delivered item doesn't match my order. I haven't changed anything on my account. Thank you.,en,True
CONV-00010,chat,I’m contacting support because I see two charges for the same purchase. I haven't changed anything on my account. Please let me know.,en,True
CONV-00011,web_form,"Hi, Something different was packed instead of what I purchased. I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True
CONV-00012,chat,I need some help. I placed ORD-100228 recently. What is happening with it? Can you check?,en,True
CONV-00013,email,I wanted to check whether I want to return ORD-100915. How do I start? Thank you.,en,True
CONV-00014,chat,Could you help me? Please help me arrange a return. I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00015,email,Could you help me? Can you send me through the password recovery process? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True
CONV-00016,mobile_app,Quick question: I need to redirect this package to another address. I placed the order earlier today. I'd appreciate your help.,en,True
CONV-00017,email,"Quick question: The item was returned, but I haven't received the refund. I noticed this while reviewing my recent activity. I'd appreciate your help.",en,True
CONV-00018,email,I’m contacting support because I think someone may have accessed my account. I haven't changed anything on my account.,en,True
CONV-00019,chat,I wanted to check whether I think I was charged more than once for a single checkout. I haven't changed anything on my account. Please let me know.,en,True
CONV-00020,chat,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue.,en,True
CONV-00021,chat,"Hi, Could you explain the return process for this purchase? I placed the order earlier today. I'd appreciate your help.",en,True
CONV-00022,email,Just checking — I can't recall my password and need to change it. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00023,email,Could you help me? Could you tell me the current status of my refund? I placed the order earlier today. I’d like to resolve this today.,en,True
CONV-00024,web_form,I wanted to check whether Can you give me an ETA for this shipment? This is my first time dealing with this issue. Can you check?,en,True
CONV-00025,email,Has the courier scanned ORD-104767 yet? I haven't changed anything on my account. Please let me know.,en,True
CONV-00026,email,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. Thanks.,en,True
CONV-00027,web_form,I need some help. Can you explain the latest recurring charge? This is my first time dealing with this issue. Thank you.,en,True
CONV-00028,mobile_app,"I expected this shipment already, but it hasn't turned up. I haven't changed anything on my account. Thank you.",en,True
CONV-00029,chat,Could you explain the available options for this product? I haven't changed anything on my account. Please let me know.,en,True
CONV-00030,chat,Just checking — The delivery date for ORD-100486 has passed and I'm still waiting. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True
CONV-00031,chat,Quick question: Please stop ORD-101962 before it is dispatched. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True
CONV-00032,mobile_app,"I expected this shipment already, but it hasn't turned up. I haven't changed anything on my account. Please let me know.",en,True
CONV-00033,chat,Could you help me? Has the courier scanned ORD-104842 yet? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True
