conversation_id,channel,customer_message,language,synthetic,annotator_1_label,annotator_2_label,annotator_3_label,adjudicated_intent,annotation_confidence,review_status,reviewer_id
CONV-00001,email,Just checking — It looks like I was billed twice for ORD-101501. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00002,web_form,"I wanted to check whether The box arrived, but shirt wasn't inside. I haven't changed anything on my account. Can you check?",en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00003,email,Just checking — Part of ORD-102653 was not included in the delivery. I placed the order earlier today. Thanks.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
CONV-00004,mobile_app,Just checking — Has the refund for ORD-101055 been issued yet? I noticed this while reviewing my recent activity. Any guidance would be helpful.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00005,email,Please advise: When should ORD-100705 arrive? I placed the order earlier today. Any guidance would be helpful.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00006,web_form,I wanted to check whether Do you have an update on ORD-100106? I want to know where it stands. I haven't changed anything on my account. Thank you.,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00007,email,Just checking — I’m planning around the delivery. When is it expected? I noticed this while reviewing my recent activity. Thanks.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00008,web_form,Quick question: The delivered item doesn't match my order. I placed the order earlier today. I’d like to resolve this today.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00009,mobile_app,I wanted to check whether The delivered item doesn't match my order. I haven't changed anything on my account. Thank you.,en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00010,chat,I’m contacting support because I see two charges for the same purchase. I haven't changed anything on my account. Please let me know.,en,True,duplicate_charge,duplicate_charge,subscription_billing,duplicate_charge,medium,adjudicated,REVIEWER-001
CONV-00011,web_form,"Hi, Something different was packed instead of what I purchased. I’m trying to sort this out before the end of the day. I'd appreciate your help.",en,True,wrong_item,wrong_item,wrong_item,wrong_item,high,approved,
CONV-00012,chat,I need some help. I placed ORD-100228 recently. What is happening with it? Can you check?,en,True,order_status,order_status,order_status,order_status,high,approved,
CONV-00013,email,I wanted to check whether I want to return ORD-100915. How do I start? Thank you.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00014,chat,Could you help me? Please help me arrange a return. I placed the order earlier today. I’d like to resolve this today.,en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00015,email,Could you help me? Can you send me through the password recovery process? I noticed this while reviewing my recent activity. I’d like to resolve this today.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00016,mobile_app,Quick question: I need to redirect this package to another address. I placed the order earlier today. I'd appreciate your help.,en,True,address_change,address_change,address_change,address_change,high,approved,
CONV-00017,email,"Quick question: The item was returned, but I haven't received the refund. I noticed this while reviewing my recent activity. I'd appreciate your help.",en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00018,email,I’m contacting support because I think someone may have accessed my account. I haven't changed anything on my account.,en,True,account_security,account_security,account_security,account_security,high,approved,
CONV-00019,chat,I wanted to check whether I think I was charged more than once for a single checkout. I haven't changed anything on my account. Please let me know.,en,True,duplicate_charge,duplicate_charge,duplicate_charge,duplicate_charge,high,approved,
CONV-00020,chat,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00021,chat,"Hi, Could you explain the return process for this purchase? I placed the order earlier today. I'd appreciate your help.",en,True,return_request,return_request,return_request,return_request,high,approved,
CONV-00022,email,Just checking — I can't recall my password and need to change it. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,password_reset,password_reset,password_reset,password_reset,high,approved,
CONV-00023,email,Could you help me? Could you tell me the current status of my refund? I placed the order earlier today. I’d like to resolve this today.,en,True,refund_status,refund_status,refund_status,refund_status,high,approved,
CONV-00024,web_form,I wanted to check whether Can you give me an ETA for this shipment? This is my first time dealing with this issue. Can you check?,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00025,email,Has the courier scanned ORD-104767 yet? I haven't changed anything on my account. Please let me know.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00026,email,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. Thanks.,en,True,delivery_estimate,delivery_estimate,delivery_estimate,delivery_estimate,high,approved,
CONV-00027,web_form,I need some help. Can you explain the latest recurring charge? This is my first time dealing with this issue. Thank you.,en,True,subscription_billing,subscription_billing,subscription_billing,subscription_billing,high,approved,
CONV-00028,mobile_app,"I expected this shipment already, but it hasn't turned up. I haven't changed anything on my account. Thank you.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00029,chat,Could you explain the available options for this product? I haven't changed anything on my account. Please let me know.,en,True,product_information,promo_code,product_information,product_information,medium,adjudicated,REVIEWER-001
CONV-00030,chat,Just checking — The delivery date for ORD-100486 has passed and I'm still waiting. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00031,chat,Quick question: Please stop ORD-101962 before it is dispatched. I’m trying to sort this out before the end of the day. I'd appreciate your help.,en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00032,mobile_app,"I expected this shipment already, but it hasn't turned up. I haven't changed anything on my account. Please let me know.",en,True,delivery_delay,delivery_delay,delivery_delay,delivery_delay,high,approved,
CONV-00033,chat,Could you help me? Has the courier scanned ORD-104842 yet? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00034,chat,Please advise: Can you show me the latest tracking update for my shipment? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,en,True,delivery_tracking,delivery_tracking,delivery_tracking,delivery_tracking,high,approved,
CONV-00035,email,"Hello, Can you cancel ORD-101755 for me? I haven't changed anything on my account. Please let me know.",en,True,order_cancellation,order_cancellation,order_cancellation,order_cancellation,high,approved,
CONV-00036,mobile_app,Could you help me? One product from my order is missing. I placed the order earlier today. I'd appreciate your help.,en,True,missing_item,missing_item,missing_item,missing_item,high,approved,
