conversation_id,customer_message,intent
CONV-00001,Just checking — It looks like I was billed twice for ORD-101501. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,duplicate_charge
CONV-00002,"I wanted to check whether The box arrived, but shirt wasn't inside. I haven't changed anything on my account. Can you check?",missing_item
CONV-00003,Just checking — Part of ORD-102653 was not included in the delivery. I placed the order earlier today. Thanks.,missing_item
CONV-00004,Just checking — Has the refund for ORD-101055 been issued yet? I noticed this while reviewing my recent activity. Any guidance would be helpful.,refund_status
CONV-00005,Please advise: When should ORD-100705 arrive? I placed the order earlier today. Any guidance would be helpful.,delivery_estimate
CONV-00006,I wanted to check whether Do you have an update on ORD-100106? I want to know where it stands. I haven't changed anything on my account. Thank you.,order_status
CONV-00007,Just checking — I’m planning around the delivery. When is it expected? I noticed this while reviewing my recent activity. Thanks.,delivery_estimate
CONV-00008,Quick question: The delivered item doesn't match my order. I placed the order earlier today. I’d like to resolve this today.,wrong_item
CONV-00009,I wanted to check whether The delivered item doesn't match my order. I haven't changed anything on my account. Thank you.,wrong_item
CONV-00010,I’m contacting support because I see two charges for the same purchase. I haven't changed anything on my account. Please let me know.,duplicate_charge
CONV-00011,"Hi, Something different was packed instead of what I purchased. I’m trying to sort this out before the end of the day. I'd appreciate your help.",wrong_item
CONV-00012,I need some help. I placed ORD-100228 recently. What is happening with it? Can you check?,order_status
CONV-00013,I wanted to check whether I want to return ORD-100915. How do I start? Thank you.,return_request
CONV-00014,Could you help me? Please help me arrange a return. I placed the order earlier today. I’d like to resolve this today.,return_request
CONV-00015,Could you help me? Can you send me through the password recovery process? I noticed this while reviewing my recent activity. I’d like to resolve this today.,password_reset
CONV-00016,Quick question: I need to redirect this package to another address. I placed the order earlier today. I'd appreciate your help.,address_change
CONV-00017,"Quick question: The item was returned, but I haven't received the refund. I noticed this while reviewing my recent activity. I'd appreciate your help.",refund_status
CONV-00018,I’m contacting support because I think someone may have accessed my account. I haven't changed anything on my account.,account_security
CONV-00019,I wanted to check whether I think I was charged more than once for a single checkout. I haven't changed anything on my account. Please let me know.,duplicate_charge
CONV-00020,I’m contacting support because When should the refund appear in my account? This is my first time dealing with this issue.,refund_status
CONV-00021,"Hi, Could you explain the return process for this purchase? I placed the order earlier today. I'd appreciate your help.",return_request
CONV-00022,Just checking — I can't recall my password and need to change it. I’m trying to sort this out before the end of the day. I'd appreciate your help.,password_reset
CONV-00023,Could you help me? Could you tell me the current status of my refund? I placed the order earlier today. I’d like to resolve this today.,refund_status
CONV-00024,I wanted to check whether Can you give me an ETA for this shipment? This is my first time dealing with this issue. Can you check?,delivery_estimate
CONV-00025,Has the courier scanned ORD-104767 yet? I haven't changed anything on my account. Please let me know.,delivery_tracking
CONV-00026,Could you help me? What is the estimated delivery date for my package? I placed the order earlier today. Thanks.,delivery_estimate
CONV-00027,I need some help. Can you explain the latest recurring charge? This is my first time dealing with this issue. Thank you.,subscription_billing
CONV-00028,"I expected this shipment already, but it hasn't turned up. I haven't changed anything on my account. Thank you.",delivery_delay
CONV-00029,Could you explain the available options for this product? I haven't changed anything on my account. Please let me know.,product_information
CONV-00030,Just checking — The delivery date for ORD-100486 has passed and I'm still waiting. I’m trying to sort this out before the end of the day. Any guidance would be helpful.,delivery_delay
CONV-00031,Quick question: Please stop ORD-101962 before it is dispatched. I’m trying to sort this out before the end of the day. I'd appreciate your help.,order_cancellation
CONV-00032,"I expected this shipment already, but it hasn't turned up. I haven't changed anything on my account. Please let me know.",delivery_delay
CONV-00033,Could you help me? Has the courier scanned ORD-104842 yet? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,delivery_tracking
CONV-00034,Please advise: Can you show me the latest tracking update for my shipment? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,delivery_tracking
CONV-00035,"Hello, Can you cancel ORD-101755 for me? I haven't changed anything on my account. Please let me know.",order_cancellation
CONV-00036,Could you help me? One product from my order is missing. I placed the order earlier today. I'd appreciate your help.,missing_item
