conversation_id,customer_message,intent
CONV-04551,Could you tell me the current status of my refund? I haven't changed anything on my account. Please let me know.,refund_status
CONV-03475,I wanted to check whether Can you tell me more about this product's features?,product_information
CONV-03108,"Hello, Could you help me end my recurring plan? This is my first time dealing with this issue. Thank you.",subscription_cancel
CONV-01907,I need some help. The delivery date for ORD-100381 has passed and I'm still waiting. I haven't changed anything on my account. Thank you.,delivery_delay
CONV-01248,Quick question: The delivered item doesn't match my order. I noticed this while reviewing my recent activity. Any guidance would be helpful.,wrong_item
CONV-03106,Please advise: The product has a crack that wasn't shown in the listing. I noticed this while reviewing my recent activity. I’d like to resolve this today.,damaged_item
CONV-01962,Just checking — The delivery date for ORD-100346 has passed and I'm still waiting. I placed the order earlier today. Thanks.,delivery_delay
CONV-03872,I need some help. The delivery date for ORD-100441 has passed and I'm still waiting. I haven't changed anything on my account. Please let me know.,delivery_delay
CONV-00238,Could you help me? What is the estimated delivery date for my package? I noticed this while reviewing my recent activity. I'd appreciate your help.,delivery_estimate
CONV-03079,"Hello, My discount code isn't working. This is my first time dealing with this issue. Can you check?",promo_code
CONV-03304,I need some help. Part of ORD-102548 was not included in the delivery. This is my first time dealing with this issue. Please let me know.,missing_item
CONV-01548,"Hello, I can't finish the purchase because the payment isn't accepted. Please let me know.",payment_failure
CONV-02585,I no longer want this order. Is cancellation still possible? I haven't changed anything on my account. Thank you.,order_cancellation
CONV-00296,Quick question: Can you give me an ETA for this shipment? I placed the order earlier today. Any guidance would be helpful.,delivery_estimate
CONV-01110,Quick question: Do you have an update on ORD-100111? I want to know where it stands. I noticed this while reviewing my recent activity. Thanks.,order_status
CONV-02837,I wanted to check whether Can you give me an ETA for this shipment? This is my first time dealing with this issue. Thank you.,delivery_estimate
CONV-02610,My subscription payment was higher than I expected. This is my first time dealing with this issue. Please let me know.,subscription_billing
CONV-02440,I’m contacting support because Can you see what stage ORD-100022 is at right now? I haven't changed anything on my account. Please let me know.,order_status
CONV-03907,Could you help me? Could you explain the available options for this product? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,product_information
CONV-02892,Just checking — It looks like I was billed twice for ORD-101681. I’m trying to sort this out before the end of the day. Thanks.,duplicate_charge
CONV-01401,"Hi, I opened the package and found the product broken. I’m trying to sort this out before the end of the day. I'd appreciate your help.",damaged_item
CONV-01517,I’m contacting support because Could you explain the return process for this purchase?,return_request
CONV-02182,"Quick question: The item was returned, but I haven't received the refund. I’m trying to sort this out before the end of the day. I'd appreciate your help.",refund_status
CONV-02178,"Hi, My multi-item order is incomplete. I’m trying to sort this out before the end of the day. I’d like to resolve this today.",missing_item
CONV-01186,I need some help. The item I received isn't the one I ordered. Thank you.,wrong_item
CONV-00048,Quick question: Can you tell me more about this product's features? I noticed this while reviewing my recent activity. I'd appreciate your help.,product_information
CONV-00979,Please advise: Could you help me end my recurring plan? I’m trying to sort this out before the end of the day. I'd appreciate your help.,subscription_cancel
CONV-00377,Please advise: I forgot my password. How can I reset it? I’m trying to sort this out before the end of the day. Thanks.,password_reset
CONV-01455,I’m contacting support because Where should I enter my promo code? This is my first time dealing with this issue. Please let me know.,promo_code
CONV-00905,Quick question: I want to track the package that was just dispatched. I placed the order earlier today. I’d like to resolve this today.,delivery_tracking
CONV-02912,I’m checking on ORD-100050. Could you tell me its current status? This is my first time dealing with this issue. Thank you.,order_status
CONV-04169,"I wanted to check whether The box arrived, but shirt wasn't inside. This is my first time dealing with this issue. Can you check?",missing_item
CONV-04493,"Hello, When should ORD-100510 arrive? This is my first time dealing with this issue.",delivery_estimate
CONV-03789,Please update the destination before the order ships.,address_change
CONV-03080,Please advise: When should ORD-100575 arrive? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,delivery_estimate
CONV-02187,Quick question: The promised delivery window is over for ORD-100484. I placed the order earlier today. I’d like to resolve this today.,delivery_delay
CONV-03184,"Hi, I can't sign in to my account. I noticed this while reviewing my recent activity. Thanks.",account_access
CONV-01117,Quick question: I want to return ORD-100790. How do I start? I’m trying to sort this out before the end of the day. I'd appreciate your help.,return_request
CONV-01512,I wanted to check whether I need to create a new password because I can't remember mine.,password_reset
CONV-01020,"Hi, Why was my subscription charged this month? I’m trying to sort this out before the end of the day. I'd appreciate your help.",subscription_billing
CONV-01810,Please advise: I received a security alert for an unfamiliar sign-in. I noticed this while reviewing my recent activity. I'd appreciate your help.,account_security
CONV-03208,"Hello, What steps do I need to follow to return this product?",return_request
CONV-04272,Please advise: I received a security alert for an unfamiliar sign-in. I placed the order earlier today. I’d like to resolve this today.,account_security
CONV-01710,My subscription payment was higher than I expected. This is my first time dealing with this issue. Can you check?,subscription_billing
CONV-04845,Could you help me? Could you explain the available options for this product? I noticed this while reviewing my recent activity. I'd appreciate your help.,product_information
CONV-01569,Just checking — Can you explain the latest recurring charge? I noticed this while reviewing my recent activity. Any guidance would be helpful.,subscription_billing
CONV-01200,I wanted to check whether Please stop ORD-101957 before it is dispatched. This is my first time dealing with this issue.,order_cancellation
CONV-00242,"Hi, Roughly how long will delivery take? I placed the order earlier today. Any guidance would be helpful.",delivery_estimate
CONV-03156,Quick question: I need to redirect this package to another address. I placed the order earlier today. Thanks.,address_change
CONV-00041,"Hi, How do I change the address attached to my order? I’m trying to sort this out before the end of the day. I'd appreciate your help.",address_change
CONV-02936,Please advise: Does this product come with the accessories shown? I’m trying to sort this out before the end of the day. Any guidance would be helpful.,product_information
CONV-02664,I wanted to check whether The promised delivery window is over for ORD-100389. Thank you.,delivery_delay
CONV-02789,I need some help. The item I received isn't the one I ordered.,wrong_item
CONV-03622,Could you help me? I’m checking on ORD-100145. Could you tell me its current status? I’m trying to sort this out before the end of the day. I’d like to resolve this today.,order_status
CONV-00378,Quick question: The promised delivery window is over for ORD-100254. I noticed this while reviewing my recent activity. Any guidance would be helpful.,delivery_delay
CONV-00203,"Hello, I'm locked out of my account and need access. Please let me know.",account_access
CONV-00130,"Hello, I forgot my password. How can I reset it? Thank you.",password_reset
CONV-00495,Quick question: Can you give me an ETA for this shipment? I noticed this while reviewing my recent activity. Any guidance would be helpful.,delivery_estimate
CONV-01974,Could you help me? Has the courier scanned ORD-104952 yet? I noticed this while reviewing my recent activity. Thanks.,delivery_tracking
CONV-02100,I need some help. Can you help me cancel my recent order?,order_cancellation
CONV-00442,I’m checking on ORD-100080. Could you tell me its current status? This is my first time dealing with this issue.,order_status
CONV-04991,"Hi, I see two charges for the same purchase. I placed the order earlier today. Any guidance would be helpful.",duplicate_charge
CONV-02949,I wanted to check whether I keep getting rejected when I try to sign in. This is my first time dealing with this issue.,account_access
